Draw Date,Winning Numbers,Mega Ball,Multiplier,Game Type,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Split 10,Split 11,Split 12,Split 13,Split 14,Split 15,Split 16,Split 17,Split 18,Split 19,Split 20
3/18/22,02 06 25 40 45,05,04,Mega Millions,2,6,25,40,45,,,,,,,,,,,,,,,
3/15/22,09 14 28 59 60,24,05,Mega Millions,9,14,28,59,60,,,,,,,,,,,,,,,
3/11/22,24 28 39 44 66,25,03,Mega Millions,24,28,39,44,66,,,,,,,,,,,,,,,
3/8/22,07 18 38 58 64,24,03,Mega Millions,7,18,38,58,64,,,,,,,,,,,,,,,
3/4/22,11 19 28 46 47,05,04,Mega Millions,11,19,28,46,47,,,,,,,,,,,,,,,
3/1/22,18 22 38 39 50,18,02,Mega Millions,18,22,38,39,50,,,,,,,,,,,,,,,
2/25/22,15 31 40 56 66,04,03,Mega Millions,15,31,40,56,66,,,,,,,,,,,,,,,
2/22/22,06 17 22 57 62,03,03,Mega Millions,6,17,22,57,62,,,,,,,,,,,,,,,
2/18/22,06 11 50 63 68,17,04,Mega Millions,6,11,50,63,68,,,,,,,,,,,,,,,
2/15/22,02 04 15 21 63,19,03,Mega Millions,2,4,15,21,63,,,,,,,,,,,,,,,
2/11/22,11 16 23 24 30,24,03,Mega Millions,11,16,23,24,30,,,,,,,,,,,,,,,
2/8/22,01 17 20 52 54,02,03,Mega Millions,1,17,20,52,54,,,,,,,,,,,,,,,
2/4/22,07 16 34 44 61,24,04,Mega Millions,7,16,34,44,61,,,,,,,,,,,,,,,
2/1/22,11 24 38 62 66,01,04,Mega Millions,11,24,38,62,66,,,,,,,,,,,,,,,
1/28/22,03 16 25 44 55,13,03,Mega Millions,3,16,25,44,55,,,,,,,,,,,,,,,
1/25/22,03 12 38 53 58,13,03,Mega Millions,3,12,38,53,58,,,,,,,,,,,,,,,
1/21/22,38 45 46 55 67,18,02,Mega Millions,38,45,46,55,67,,,,,,,,,,,,,,,
1/18/22,04 19 39 42 52,09,04,Mega Millions,4,19,39,42,52,,,,,,,,,,,,,,,
1/14/22,05 08 13 22 48,25,02,Mega Millions,5,8,13,22,48,,,,,,,,,,,,,,,
1/11/22,02 03 19 52 58,16,02,Mega Millions,2,3,19,52,58,,,,,,,,,,,,,,,
1/7/22,07 29 43 56 57,06,03,Mega Millions,7,29,43,56,57,,,,,,,,,,,,,,,
1/4/22,04 06 16 21 22,01,03,Mega Millions,4,6,16,21,22,,,,,,,,,,,,,,,
12/31/21,02 05 30 46 61,08,03,Mega Millions,2,5,30,46,61,,,,,,,,,,,,,,,
12/28/21,03 05 08 31 38,04,03,Mega Millions,3,5,8,31,38,,,,,,,,,,,,,,,
12/24/21,16 17 25 36 37,16,02,Mega Millions,16,17,25,36,37,,,,,,,,,,,,,,,
12/21/21,25 31 58 64 67,24,03,Mega Millions,25,31,58,64,67,,,,,,,,,,,,,,,
12/17/21,21 32 38 48 62,10,03,Mega Millions,21,32,38,48,62,,,,,,,,,,,,,,,
12/14/21,33 35 44 55 69,20,03,Mega Millions,33,35,44,55,69,,,,,,,,,,,,,,,
12/10/21,23 25 40 42 60,08,02,Mega Millions,23,25,40,42,60,,,,,,,,,,,,,,,
12/7/21,01 07 40 43 68,01,02,Mega Millions,1,7,40,43,68,,,,,,,,,,,,,,,
12/3/21,22 45 48 58 61,13,05,Mega Millions,22,45,48,58,61,,,,,,,,,,,,,,,
11/30/21,07 08 26 30 39,17,02,Mega Millions,7,8,26,30,39,,,,,,,,,,,,,,,
11/26/21,07 27 37 42 59,02,02,Mega Millions,7,27,37,42,59,,,,,,,,,,,,,,,
11/23/21,07 24 54 57 58,06,03,Mega Millions,7,24,54,57,58,,,,,,,,,,,,,,,
11/19/21,05 23 52 53 59,18,05,Mega Millions,5,23,52,53,59,,,,,,,,,,,,,,,
11/16/21,06 22 44 53 65,03,03,Mega Millions,6,22,44,53,65,,,,,,,,,,,,,,,
